WellReport,TypeOfWork,ProposedUs,OwnerName2,County2,WellAddres,CoordDDLat,CoordDDLon,GridNumber,DrillingSt,DrillingEn,Year,BoreholeDe,DrillerSig,DrillerCom,LicenseNum,PluggingRe
316583,New Well,Public Supply,stepping stone ministries,Midland,"2400 elkins rd, midland,",32.036111,-102.020278,27-64-9,4/22/2013,4/22/2013,2013,83,Mike Tharp,AAW Services,55070,
315246,New Well,Public Supply,"Chevron U.S.A., Inc.",Midland,"6507 S. C.R. 1270, Midland, 79706",31.883611,-102.187222,45-07-8,3/19/2013,3/19/2013,2013,120,Rory B Roach,West Texas Water Well Service,54815,
314795,New Well,Public Supply,Opti Blend,Midland,"6215 CR 112, Midland, 79706",31.946945,-102.153056,45-07-6,3/27/2013,3/28/2013,2013,130,Rory B Roach,West Texas Water Well Service,54815,
311040,New Well,Public Supply,Lariat Services,Midland,"13416 W. I-20 E, Odessa, 79706",31.889445,-102.260278,45-06-9,2/1/2013,2/1/2013,2013,131,Rory B Roach,West Texas Water Well Service,54815,
297375,New Well,Public Supply,"Water Runner, Inc.",Midland,"5112 N. CR 1150, Midland, 79705",32.067222,-102.026944,27-64-6,8/6/2012,8/6/2012,2012,76,Rory B Roach,West Texas Water Well Service,54815,
297374,New Well,Public Supply,"Water Runner, Inc.",Midland,"5112 N. CR 1150, Midland, 79705",32.0675,-102.026944,27-64-6,8/2/2012,8/3/2012,2012,76,Rory B Roach,West Texas Water Well Service,54815,
227193,New Well,Public Supply,Dollar General Store,Midland,"3712 S. Hwy 349, Midland, 79706",31.953334,-102.068333,45-08-5,8/12/2010,8/17/2010,2010,121,Jimmy Kitchens,"AAW Services, LLC",57993,
202433,New Well,Public Supply,Enertech,Midland,"6300 W. I-20, Midland, 79706",31.946945,-102.151112,45-07-6,12/2/2009,12/4/2009,2009,137,Ronny Keith,West Texas Water Well Service,4854,
134827,New Well,Public Supply,BASIC ENERGY,Midland,"5805 E.HWY 80, MIDLAND, 79701",32.039445,-101.990834,28-57-7,11/6/2007,12/28/2007,2007,100,Darrin S Stark Sr,EAGLE CORRISION CONTROL,54891,
129488,New Well,Public Supply,Univ. of Texas - Permian Basin,Midland,"1788 & 191 - S.E. Corner, Midland,",31.971389,-102.249445,45-07-1,2/3/2005,2/4/2005,2005,150,Ronny Keith,West Texas Water Well Service,4854,
87520,New Well,Public Supply,Greater Gardendale Water Supply Corporat,Midland,,31.988334,-102.278055,45-06-3,6/4/2006,6/8/2006,2006,152,Mike Tharp,West Texas Water Well Service,55070,
87517,New Well,Public Supply,Greater Gardendale Water Supply Corporat,Midland,,31.990278,-102.276389,45-06-3,5/31/2006,6/2/2006,2006,142,Mike Tharp,West Texas Water Well Service,55070,
87515,New Well,Public Supply,Greater Gardendale Water Supply Corporat,Midland,,31.990556,-102.278889,45-06-3,6/5/2006,6/6/2006,2006,142,Mike Tharp,West Texas Water Well Service,55070,
87514,New Well,Public Supply,Greater Gardendale Water Supply Corporat,Midland,"Midland,",31.985,-102.274722,45-06-3,5/19/2006,5/21/2006,2006,152,Mike Tharp,West Texas Water Well Service,55070,
87512,New Well,Public Supply,Greater Gardendale Water Supply Corporat,Midland,"Midland,",31.983611,-102.277222,45-06-3,5/21/2006,5/24/2006,2006,152,Mike Tharp,West Texas Water Well Service,55070,
87511,New Well,Public Supply,Greater Gardendale Water Supply Corporat,Midland,"Midland,",31.986667,-102.275278,45-06-3,5/23/2006,6/3/2006,2006,150,Mike Tharp,West Texas Water Well Service,55070,
74369,New Well,Public Supply,UNCLE'S CONVEINCE STORE #130205,Midland,"4921 N. LOOP 250, MIDLAND, 79706",32.051667,-102.011667,27-64-6,12/22/2005,12/23/2005,2005,92,Darrin S Stark Sr,KITCHENS CORROSION CONTROL,54891,
